app_id,order,ctx0,ctx1,ctx2,ctx3,next_op,count,prob
4,4,16,31,2,32,23,1,0.142857
4,4,16,31,2,32,32,1,0.142857
4,4,16,31,2,33,27,9,0.600000
4,4,16,31,2,33,39,3,0.200000
4,4,16,31,2,33,34,2,0.133333
4,4,16,31,2,33,28,1,0.066667
4,4,17,2,23,4,5,1,1.000000
4,4,17,2,32,23,4,1,1.000000
4,4,17,31,2,3,4,44,1.000000
4,4,17,31,2,23,4,20,1.000000
4,4,17,31,2,24,40,16,1.000000
4,4,17,31,2,32,32,3,0.600000
4,4,17,31,2,32,23,2,0.400000
4,4,17,31,2,33,28,4,0.363636
4,4,17,31,2,33,34,3,0.272727
4,4,17,31,2,33,27,2,0.181818
4,4,17,31,2,33,32,1,0.090909
4,4,17,31,2,33,39,1,0.090909
4,4,18,2,3,4,5,3,1.000000
4,4,18,2,23,4,5,4,1.000000
4,4,18,2,32,32,3,1,1.000000
4,4,18,14,16,31,2,43,1.000000
4,4,18,19,20,31,2,37,1.000000
4,4,18,19,31,2,3,18,0.461538
4,4,18,19,31,2,23,8,0.205128
4,4,18,19,31,2,24,6,0.153846
4,4,18,19,31,2,33,6,0.153846
4,4,18,19,31,2,32,1,0.025641
4,4,18,20,31,2,3,21,0.428571
4,4,18,20,31,2,33,9,0.183673
4,4,18,20,31,2,23,8,0.163265
4,4,18,20,31,2,24,7,0.142857
4,4,18,20,31,2,25,2,0.040816
4,4,18,20,31,2,32,2,0.040816
4,4,18,31,2,3,4,58,1.000000
4,4,18,31,2,23,4,35,1.000000
4,4,18,31,2,24,40,25,1.000000
4,4,18,31,2,25,22,2,1.000000
4,4,18,31,2,32,32,4,0.571429
4,4,18,31,2,32,23,2,0.285714
4,4,18,31,2,32,33,1,0.142857
4,4,18,31,2,33,27,8,0.320000
4,4,18,31,2,33,28,7,0.280000
4,4,18,31,2,33,39,5,0.200000
4,4,18,31,2,33,34,4,0.160000
4,4,18,31,2,33,32,1,0.040000
4,4,19,20,31,2,3,18,0.486486
4,4,19,20,31,2,23,8,0.216216
4,4,19,20,31,2,33,6,0.162162
4,4,19,20,31,2,24,3,0.081081
4,4,19,20,31,2,32,2,0.054054
4,4,19,31,2,3,4,18,1.000000
4,4,19,31,2,23,4,8,1.000000
4,4,19,31,2,24,40,6,1.000000
4,4,19,31,2,32,33,1,1.000000
4,4,19,31,2,33,34,3,0.500000
4,4,19,31,2,33,27,1,0.166667
4,4,19,31,2,33,32,1,0.166667
4,4,19,31,2,33,39,1,0.166667
4,4,20,31,2,3,4,39,1.000000
4,4,20,31,2,23,4,16,1.000000
4,4,20,31,2,24,40,10,1.000000
4,4,20,31,2,25,22,2,1.000000
4,4,20,31,2,32,33,3,0.750000
4,4,20,31,2,32,23,1,0.250000
4,4,20,31,2,33,27,5,0.333333
4,4,20,31,2,33,34,5,0.333333
4,4,20,31,2,33,28,3,0.200000
4,4,20,31,2,33,39,2,0.133333
4,4,21,31,2,3,4,14,1.000000
4,4,21,31,2,23,4,14,1.000000
4,4,21,31,2,24,40,9,1.000000
4,4,21,31,2,32,23,1,0.500000
4,4,21,31,2,32,32,1,0.500000
